metabolite,p_value,beta_coefficient,adjusted_p_value
"5,6-dihydrothymine",2.7527576471054126e-4,-0.10848762271592005,0.037382448847691506
"N6,N6,N6-trimethyllysine",1.2958031351614611e-7,-0.27746660959317704,5.865668858497548e-5
citrulline,1.8497770974915015e-4,-0.12263040237912173,0.027911081093260653
3-hydroxyoctanoate,3.0381100230568975e-5,0.5714858115270529,0.006876255685518778
3-hydroxydecanoate,3.6808584003802495e-5,0.42979047318191305,0.007140865296737684
campesterol,3.1128267062687155e-4,0.33194348230321735,0.038429260610117415
phenylalanylalanine,3.950477646846727e-6,-0.41926308960125824,0.0010760324433778852
prolylglycine,3.8438778170187606e-15,1.2037760090500818,5.219986075511477e-12
2-hydroxynervonate*,3.763751049160859e-4,0.24256742765938805,0.042593116039670385
glycoursodeoxycholic acid sulfate (2),3.961827847488531e-6,1.1050097593181492,0.0010760324433778852
deoxycholic acid 12-sulfate*,1.0278017492308549e-4,1.2995207522699104,0.01744693469319376
X-16397,1.2086514301335967e-7,-0.33886603611222965,5.865668858497548e-5
