metabolite,p_value,beta_coefficient,adjusted_p_value
gluconate,1.9835225993775736e-7,0.7389374396251769,3.647046956143758e-5
glucose,1.430429170661342e-14,2.2777244794858897,9.71261406879051e-12
mannose,2.406201026868245e-8,1.2898743846824927,6.535241988974154e-6
maltose,6.32653440997793e-4,0.29494207096846453,0.03905197149431831
3-aminoisobutyrate,2.900590831468255e-4,-0.612654676659308,0.020731591311231
carnitine,1.168884954163835e-4,-1.5017739162364516,0.008818587598636045
"1,5-anhydroglucitol (1,5-AG)",2.7551710432585285e-16,-1.5520255471996711,3.7415222767450817e-13
Fibrinopeptide A*,2.9393367705721e-7,0.7129041492033271,4.435132593818791e-5
glutamine_degradant*,6.936380883087736e-4,-0.3809567643547501,0.040954805387970195
deoxycarnitine,4.546165262588126e-4,-1.3525249344026828,0.02939853536473655
mannonate*,1.845468944277816e-10,0.9264791792505123,8.353822754430914e-8
fructosyllysine,2.5945134353913616e-9,0.7254657272608246,8.808373113153672e-7
O-sulfo-L-tyrosine,7.512665138611415e-5,-1.300402238925021,0.0060012936813142945
2-keto-3-deoxy-gluconate,1.7940400633761813e-7,0.9483359410021944,3.647046956143758e-5
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,7.593655779664652e-4,0.3657228783584819,0.04296743561993582
palmitoylcholine,8.888915568355597e-7,-0.9245523626187861,1.0973770310751729e-4
oleoylcholine,1.6329581867167574e-6,-0.8657456109571197,1.8479643479677973e-4
arachidonoylcholine,4.6362347703461816e-7,-0.9373066018598193,6.296006818130115e-5
docosahexaenoylcholine,2.237445838597176e-6,-0.8225451091109987,2.337270345242281e-4
palmitoloelycholine,3.67550778449375e-4,-0.5125720035115578,0.024956697856712565
dihomo-linolenoyl-choline,7.081119218376268e-6,-0.6763530611809799,6.86868564182498e-4
stearoylcholine*,2.1484812701877806e-7,-0.933841483323987,3.647046956143758e-5
linoleoylcholine*,1.0091637251838673e-5,-0.7140925020285006,9.136295591997945e-4
X-11315,4.734354235092606e-5,-0.5474493185220904,0.00401828315703485
