metabolite,p_value,beta_coefficient,adjusted_p_value
N-acetylputrescine,8.497390064127572e-4,0.07568419181729634,0.04564404250226167
5-methylthioadenosine (MTA),1.5755955285391297e-4,0.07071751396646782,0.01783048939796782
glutarate (C5-DC),1.267491248217734e-4,0.31046724223958677,0.016481892569436784
myo-inositol,2.4271532759795924e-4,0.08502606114623716,0.02060046342987679
2-aminoadipate,1.3350575718984142e-4,0.14564115194131852,0.016481892569436784
caprate (10:0),1.0715171189827995e-6,0.22710166244616298,2.9102404951572835e-4
caprylate (8:0),1.2340605385174804e-5,0.4228432202033016,0.0027930903521778973
gamma-glutamyltyrosine,5.094298694331578e-4,0.0950230980115368,0.03558162301021399
glycochenodeoxycholate,0.001015522390064822,1.0174233663391816,0.04925283591814387
glucuronate,2.167090122931532e-4,0.14442249122906392,0.01964272445114689
2-isopropylmalate,5.003501810286173e-4,1.0405870375889559,0.03558162301021399
phenyllactate (PLA),8.738918299402087e-4,0.13037617528993733,0.04564404250226167
dodecanedioate (C12-DC),2.154668738723966e-4,0.20631795525013602,0.01964272445114689
1-methylhistamine,5.906966569386682e-4,0.134632509822548,0.038198383815367214
1-methyl-4-imidazoleacetate,1.2198479881538792e-4,0.21501067120757109,0.016481892569436784
pyrraline,2.752101871426108e-4,0.22615633243110297,0.021984437302333258
ergothioneine,2.1696676492430293e-4,0.31122291251571604,0.01964272445114689
glycoursodeoxycholate,3.7853888810235424e-5,1.4992544436982214,0.006425697625537463
tauroursodeoxycholate,3.6732071444002236e-14,1.5957728103300997,4.988215302095504e-11
prolylglycine,9.307688113625137e-10,0.6077660852414488,4.2132801527676455e-7
taurodeoxycholic acid 3-sulfate,7.593652965445428e-4,0.4821852773996806,0.042967419696145384
2-hydroxynervonate*,5.240297939648599e-4,0.13442286781653473,0.03558162301021399
sphingomyelin (d18:2/24:2)*,6.499499492976082e-4,-0.05965593723935344,0.04011963777937054
2-hydroxyarachidate*,1.866246308266403e-8,0.2459652935679579,6.3359062165644385e-6
"N,N,N-trimethyl-alanylproline betaine (TMAP)",7.765598737471774e-11,0.14066010957660038,5.272841542743334e-8
tauroursodeoxycholic acid sulfate (1),1.81456730037896e-5,0.3377770659663724,0.003520260562735182
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",9.444668997524133e-4,0.16291485902608768,0.04750318703199175
X-12740,7.412383354973126e-4,0.9214533996024887,0.042967419696145384
