"","Status","AGE","GENDER","CENTER_C","DOSAGE_DPPIV_C","Status","AGE","GENDER","CENTER_C","DOSAGE_DPPIV_C","Status","AGE","GENDER","CENTER_C","DOSAGE_DPPIV_C","Status","AGE","GENDER","CENTER_C","DOSAGE_DPPIV_C"
"S.1.pyrroline.5.carboxylate","2.53916196041674e-05","0.845323958647198","0.000997481556387518","0.0634849638789481","0.137276357852645","5.59357594202194e-05","0.887754260509635","0.00301466029402642","0.0786912317944037","0.238519868893777","0.183142842074333","-0.00712589558608403","Inf","Inf","0.054239559249824","OK_sd","NS","OK_sd","C: GENDER","NS"
"spermidine","0.128173486252988","0.441354066466405","0.0153186747445032","1.04055386702124e-62","0.00579460758096484","0.162098248690871","0.527680588717984","0.0327361285484895","1.41203159754782e-60","0.0183721553443208","0.0661658893819645","-0.0281169025362456","Inf","Inf","-0.100529288144748","NS","NS","OK_sd","OK_sd","OK_sd"
"X1.methylnicotinamide","0.0255670520524999","0.314950530196677","0.0403018969250578","9.40961980450814e-05","0.403368922688278","0.0364055505091735","0.393905870485614","0.0756427028040158","0.000193141264499705","0.53506513009579","-0.0971015693867864","0.036693212782556","Inf","Inf","0.03051557879579","C: CENTER_C","NS","C: Status","OK_sd","NS"
"X12.13.DiHOME","1.70188750433441e-07","0.123658238803078","9.35883561837667e-05","0.222479440118158","0.00278700100596965","4.80137493426569e-07","0.178325430452473","0.000369184300410964","0.247665791829647","0.0103050691147161","-0.222494292796492","-0.0561924936453613","Inf","Inf","-0.108901848917172","OK_sd","NS","OK_sd","NS","C: Status"
"alpha.ketoglutarate","2.27473502209205e-24","0.0750524595908652","0.0107698618137611","1.8280052058416e-07","0.00365911689954837","2.63830378203326e-23","0.115471868100685","0.0246869974345841","5.5370604114443e-07","0.0129645473438306","0.442992006147958","0.064954647915231","Inf","Inf","0.105854418984918","OK_sd","NS","C: Status","OK_sd","C: Status"
"kynurenate","1.09837065776385e-05","0.00962435352658598","2.33893472833623e-05","0.010263205711758","0.379004493327953","2.52625251285686e-05","0.0186574967651103","0.00010832540704274","0.0150890250821837","0.512260057217163","0.191212036737062","0.0943588657016301","Inf","Inf","-0.0321256869105162","OK_sd","C: Status","OK_sd","OK_sd","NS"
"X3.hydroxyisobutyrate","8.17271982767028e-09","0.00521116925967646","6.26863513453067e-07","0.872076434267205","0.0153307647434971","2.62805232373189e-08","0.0108793179775092","3.95910819436875e-06","0.884460180344243","0.040871999522447","0.250702569936788","0.101779747251881","Inf","Inf","0.0883852600858009","OK_sd","OK_sd","OK_sd","NS","C: Status"
"X3.hydroxy.3.methylglutarate","4.00877341171742e-11","1.54461535101181e-16","0.000581416626835885","0.0419591520336339","8.64313560485009e-07","1.64845621809107e-10","4.55661528548484e-15","0.00186826547595154","0.0537156314241899","8.6879518635419e-06","0.287183466815343","0.2947359167572","Inf","Inf","0.178280522710991","OK_sd","OK_sd","OK_sd","C: Status, DOSAGE_DPPIV_C","OK_sd"
"homovanillate..HVA.","0.404525491494896","5.31470920150847e-06","0.0710351605021102","0.047865167499854","0.635479123022571","0.459364930509267","2.06649294740602e-05","0.121719815316792","0.0608174459712564","0.74404242445352","-0.036232266230684","0.165126996632904","Inf","Inf","0.017313569917542","NS","OK_sd","NS","OK_sd","NS"
"cholate","0.859184613345517","0.00678741942727522","0.426678138805492","0.11528645574881","0.509311546671924","0.878608530753478","0.0137470569594216","0.534628101901249","0.136459120351789","0.642190764041458","-0.0077226186081204","0.098640957208482","Inf","Inf","-0.0241010406449021","NS","OK_nc","NS","NS","NS"
"X4.hydroxyphenylacetate","1.63861482564589e-12","2.58011641241265e-09","3.67128915411321e-05","0.00982437786736271","5.26876513625902e-05","7.61506958356669e-12","2.00653624863075e-08","0.00015852253993076","0.0145383650665335","0.000328435351184613","0.306968438976244","0.215016173984246","Inf","Inf","0.146890493072947","OK_sd","OK_sd","OK_sd","C: Status","C: Status"
"X5.6.dihydrothymine","0.000561288129386758","0.507399455066792","0.0199084339657345","0.0243924542463789","6.8975700527914e-05","0.0010391104932849","0.589504332641812","0.0414351915513829","0.0330015557451008","0.000416000113850575","-0.150022226073067","0.0242099296755352","Inf","Inf","-0.144605174234482","OK_sd","NS","OK_sd","C: Status","OK_sd"
"hypoxanthine","0.000555909647979204","0.201949312797681","0.965470209668552","1.45585259584875e-37","0.0071298824624681","0.00103055927910899","0.269199624230308","0.975534679464054","6.17372491427112e-36","0.0216448557082085","0.150135240003918","-0.0465838022264321","Inf","Inf","0.0980469213534033","C: CENTER_C","NS","NS","OK_sd","C: Status, CENTER_C"
"X9.10.DiHOME","0.00103849807545744","0.0529244259284199","0.0888977999364226","0.8754294193909","0.0851327187036094","0.00183974136866285","0.0853964874968677","0.147655219723042","0.887197701354332","0.163865389050777","-0.138660558891559","-0.0706111191114629","Inf","Inf","-0.0628246417209987","OK_sd","C: Status","NS","NS","NS"
"linoleate..18.2n6.","0.00159760844627777","0.108374183907033","3.39448460235932e-05","0.139096490429765","0.173302348555192","0.00276208379591116","0.160200182529241","0.000149071702440181","0.162438844675724","0.286096456191479","0.137266720411069","0.0585953206111191","Inf","Inf","0.0497069522811932","OK_sd","NS","OK_sd","NS","NS"
"laurate..12.0.","0.00612426270016796","0.468539492020473","1.99782870124287e-07","5.28646923074783e-15","0.00770070194086314","0.0097314104029601","0.551254424613912","1.35675566948644e-06","4.09927928349989e-14","0.023119142773786","-0.119207094261153","0.0264722355244034","Inf","Inf","-0.0971113434829743","C: CENTER_C","NS","OK_sd","OK_sd","AD"
"quinolinate","4.85771149878854e-10","1.28137250180064e-13","0.776283493025613","0.0242374210412192","0.0207277313594905","1.80106953657269e-09","2.2010411201816e-12","0.833399288002972","0.0328245312903537","0.0526732798779562","0.270653295862937","0.265716014590951","Inf","Inf","0.0843330505876605","OK_sd","OK_sd","NS","AD","C: Status, AGE"
"N..1..acetylspermidine","0.883469095836467","0.0057502167968159","0.00167416858148667","0.00202160567318222","0.729573404635165","0.896592972973894","0.0118767795940322","0.00479292566472027","0.00339519665656965","0.814840419827094","-0.00638151996202735","0.100620346617043","Inf","Inf","0.0126266305609094","NS","OK_sd","OK_sd","OK_sd","NS"
"N6.N6.N6.trimethyllysine","1.10606580325117e-16","0.0477865212523733","0.0029827991125564","2.26052431221048e-09","3.7991139343659e-20","7.04662579817765e-16","0.0785064277717562","0.00801516514007731","8.86569795280239e-09","1.71846586964484e-17","-0.360634987606139","-0.0722021453194216","Inf","Inf","-0.326564870047997","OK_sd","C: Status, DOSAGE_DPPIV_C","OK_sd","OK_sd","OK_sd"
"N.acetylputrescine","0.00619241718235601","0.000191386819146556","0.438531444479596","0.000406566074852791","0.0269827076691759","0.00982705394090464","0.000545613263827472","0.545951532255791","0.000752674165859805","0.066093022214931","0.119048874757962","0.135620246995972","Inf","Inf","0.0806576076808562","OK_sd","OK_sd","NS","OK_sd","C: Status, AGE, CENTER_C"
"N.formylmethionine","0.0230623214537557","1.09070979840089e-08","0.0613107116195969","0.0123506833674438","0.0101309324238196","0.0330819981107257","7.47521816378791e-08","0.10791003329156","0.0179441941430634","0.0291264307184813","0.0988269153977714","0.206532707880605","Inf","Inf","0.093716147420998","C: AGE, CENTER_C","OK_sd","NS","OK_sd","C: AGE, CENTER_C"
"S.adenosylhomocysteine..SAH.","1.15188177702721e-09","9.52814865894482e-07","2.803067298889e-12","2.12636741123152e-15","0.060854343966449","4.04949111768376e-09","4.36814112506356e-06","3.52200215240035e-11","1.73824131147059e-14","0.126268111257601","0.264332049997363","0.177599005065718","Inf","Inf","0.068391605119863","OK_sd","OK_sd","OK_sd","OK_sd","NS"
