"","Status","DOSAGE_DPPIV_C","Status","DOSAGE_DPPIV_C","Status","DOSAGE_DPPIV_C","Status","DOSAGE_DPPIV_C"
"S.1.pyrroline.5.carboxylate","2.53916196041674e-05","0.137276357852645","5.59357594202194e-05","0.238519868893777","0.183142842074333","0.054239559249824","OK_nc","NS"
"spermidine","0.128173486252988","0.00579460758096484","0.162098248690871","0.0183721553443208","0.0661658893819645","-0.100529288144748","NS","OK_nc"
"X1.methylnicotinamide","0.0255670520524999","0.403368922688278","0.0364055505091735","0.53506513009579","-0.0971015693867864","0.03051557879579","OK_nc","NS"
"X12.13.DiHOME","1.70188750433441e-07","0.00278700100596965","4.80137493426569e-07","0.0103050691147161","-0.222494292796492","-0.108901848917172","OK_sd","C: Status"
"alpha.ketoglutarate","2.27473502209205e-24","0.00365911689954837","2.63830378203326e-23","0.0129645473438306","0.442992006147958","0.105854418984918","OK_sd","C: Status"
"kynurenate","1.09837065776385e-05","0.379004493327953","2.52625251285686e-05","0.512260057217163","0.191212036737062","-0.0321256869105162","OK_nc","NS"
"X3.hydroxyisobutyrate","8.17271982767028e-09","0.0153307647434971","2.62805232373189e-08","0.040871999522447","0.250702569936788","0.0883852600858009","OK_sd","C: Status"
"X3.hydroxy.3.methylglutarate","4.00877341171742e-11","8.64313560485009e-07","1.64845621809107e-10","8.6879518635419e-06","0.287183466815343","0.178280522710991","OK_sd","OK_sd"
"homovanillate..HVA.","0.404525491494896","0.635479123022571","0.459364930509267","0.74404242445352","-0.036232266230684","0.017313569917542","NS","NS"
"cholate","0.859184613345517","0.509311546671924","0.878608530753478","0.642190764041458","-0.0077226186081204","-0.0241010406449021","NS","NS"
"X4.hydroxyphenylacetate","1.63861482564589e-12","5.26876513625902e-05","7.61506958356669e-12","0.000328435351184613","0.306968438976244","0.146890493072947","OK_sd","C: Status"
"X5.6.dihydrothymine","0.000561288129386758","6.8975700527914e-05","0.0010391104932849","0.000416000113850575","-0.150022226073067","-0.144605174234482","OK_sd","OK_sd"
"hypoxanthine","0.000555909647979204","0.0071298824624681","0.00103055927910899","0.0216448557082085","0.150135240003918","0.0980469213534033","OK_sd","C: Status"
"X9.10.DiHOME","0.00103849807545744","0.0851327187036094","0.00183974136866285","0.163865389050777","-0.138660558891559","-0.0628246417209987","OK_nc","NS"
"linoleate..18.2n6.","0.00159760844627777","0.173302348555192","0.00276208379591116","0.286096456191479","0.137266720411069","0.0497069522811932","OK_nc","NS"
"laurate..12.0.","0.00612426270016796","0.00770070194086314","0.0097314104029601","0.023119142773786","-0.119207094261153","-0.0971113434829743","AD","AD"
"quinolinate","4.85771149878854e-10","0.0207277313594905","1.80106953657269e-09","0.0526732798779562","0.270653295862937","0.0843330505876605","OK_sd","C: Status"
"N..1..acetylspermidine","0.883469095836467","0.729573404635165","0.896592972973894","0.814840419827094","-0.00638151996202735","0.0126266305609094","NS","NS"
"N6.N6.N6.trimethyllysine","1.10606580325117e-16","3.7991139343659e-20","7.04662579817765e-16","1.71846586964484e-17","-0.360634987606139","-0.326564870047997","OK_sd","OK_sd"
"N.acetylputrescine","0.00619241718235601","0.0269827076691759","0.00982705394090464","0.066093022214931","0.119048874757962","0.0806576076808562","OK_sd","C: Status"
