Name,p,q,Rho
spermidine,0.005794608,0.018372155,-0.100529288
X3.hydroxy.3.methylglutarate,8.64E-07,8.69E-06,0.178280523
X5.6.dihydrothymine,6.90E-05,0.000416,-0.144605174
N6.N6.N6.trimethyllysine,3.80E-20,1.72E-17,-0.32656487
arginine,5.44E-08,8.48E-07,-0.19663504
cortisone,0.016051996,0.04254406,-0.087777416
deoxycholate,1.79E-09,3.80E-08,0.217100503
glutarate..C5.DC.,2.65E-09,5.38E-08,0.214852927
X2.aminoadipate,8.47E-13,6.76E-11,0.256893567
citrulline,2.79E-11,1.26E-09,-0.239625506
malate,1.72E-05,0.000126223,0.156042877
stearate..18.0.,7.70E-05,0.000452511,0.143658277
fructose,4.43E-10,1.23E-08,0.224926503
thyroxine,1.90E-06,1.74E-05,0.172710989
arachidonoyl.ethanolamide,3.18E-06,2.73E-05,0.16894558
glycochenodeoxycholate,4.50E-05,0.000295075,0.148210947
taurodeoxycholate,0.000190836,0.000988413,0.13564641
azelate..C9.DC.,2.68E-07,3.27E-06,0.186281839
suberate..C8.DC.,5.04E-06,4.07E-05,0.165526611
glucuronate,6.92E-07,7.12E-06,0.179821491
glycodeoxycholate,3.40E-09,6.78E-08,0.213421623
X3.indoxyl.sulfate,4.45E-05,0.000293472,0.148314312
maleate,8.07E-08,1.16E-06,0.194123357
X3.hydroxyoctanoate,5.13E-15,5.35E-13,0.280041291
X2.3.dihydroxypyridine,0.01567778,0.041633557,0.088089736
X1.oleoylglycerol..18.1.,0.00699261,0.021397768,0.098281897
homocitrulline,1.76E-05,0.00012829,0.155870798
X3.hydroxydecanoate,1.31E-10,4.54E-09,0.231541694
glycolithocholate,2.91E-05,0.000200739,0.151799807
X3.hydroxysebacate,5.18E-11,2.07E-09,0.236417576
X2.hydroxyadipate,0.001988886,0.007679484,0.112578177
pro.hydroxy.pro,7.46E-13,6.32E-11,-0.257497542
sebacate..C10.DC.,1.85E-05,0.000133919,0.155485973
nicotinamide.riboside,0.001992025,0.007679484,0.112561237
Fibrinopeptide.A.,1.38E-13,1.25E-11,0.265381029
Fibrinopeptide.A..des.ala.1..,9.63E-06,7.43E-05,0.160592021
phenylacetylglutamine,0.00065069,0.002904562,0.124059425
X1.arachidonylglycerol..20.4.,0.007388208,0.02223015,0.097615517
X3.hydroxydodecanedioate.,4.70E-12,2.66E-10,0.248584053
