Name,p,q,Rho
N6.N6.N6.trimethyllysine,3.80E-20,1.72E-17,-0.32656487
deoxycholate,1.79E-09,3.80E-08,0.217100503
glutarate..C5.DC.,2.65E-09,5.38E-08,0.214852927
X2.aminoadipate,8.47E-13,6.76E-11,0.256893567
citrulline,2.79E-11,1.26E-09,-0.239625506
fructose,4.43E-10,1.23E-08,0.224926503
glycodeoxycholate,3.40E-09,6.78E-08,0.213421623
X3.hydroxyoctanoate,5.13E-15,5.35E-13,0.280041291
X3.hydroxydecanoate,1.31E-10,4.54E-09,0.231541694
X3.hydroxysebacate,5.18E-11,2.07E-09,0.236417576
pro.hydroxy.pro,7.46E-13,6.32E-11,-0.257497542
Fibrinopeptide.A.,1.38E-13,1.25E-11,0.265381029
X3.hydroxydodecanedioate.,4.70E-12,2.66E-10,0.248584053
gamma.glutamylisoleucine.,1.47E-12,1.10E-10,0.254267171
N.acetyl.cadaverine,9.81E-10,2.33E-08,0.220518864
phenylalanylalanine,4.86E-21,3.30E-18,-0.333885248
prolylglycine,2.53E-36,3.43E-33,0.4364625
X.R..3.hydroxybutyrylcarnitine,3.49E-11,1.53E-09,0.238467553
X3.hydroxyadipate,3.17E-15,3.58E-13,0.282114128
dopamine.3.O.sulfate,5.77E-09,1.07E-07,0.210320018
palmitoyl.dihydrosphingomyelin..d18.0.16.0..,3.73E-11,1.58E-09,-0.238118844
sphingomyelin..d18.2.24.1..d18.1.24.2..,2.89E-12,1.96E-10,-0.250975299
X1..1.enyl.palmitoyl..2.palmitoleoyl.GPC..P.16.0.16.1..,5.10E-12,2.77E-10,-0.248180759
glycochenodeoxycholate.glucuronide..1.,2.38E-10,7.51E-09,0.228323303
X.S..3.hydroxybutyrylcarnitine,1.08E-18,2.93E-16,0.314206878
pimeloylcarnitine.3.methyladipoylcarnitine..C7.DC.,1.12E-10,4.00E-09,-0.232360141
X2.hydroxybehenate,2.34E-10,7.51E-09,0.228420958
X2.hydroxynervonate.,7.66E-12,4.00E-10,0.246162147
sphingomyelin..d18.2.24.2..,5.00E-10,1.36E-08,-0.224261341
N.acetylglucosamine.conjugate.of.C24H40O4.bile.acid..,2.57E-12,1.84E-10,0.251544303
gamma.glutamylcitrulline.,3.87E-10,1.11E-08,-0.22567808
glycoursodeoxycholic.acid.sulfate..2.,5.03E-19,1.71E-16,0.317077707
lithocholate.sulfate..1.,7.63E-10,1.85E-08,0.221924872
hydroxypalmitoyl.sphingomyelin..d18.1.16.0.OH....,5.44E-10,1.42E-08,-0.223800092
isoursodeoxycholate.sulfate..1.,1.95E-15,2.41E-13,0.284182007
isoursodeoxycholate.sulfate..2.,2.08E-10,6.87E-09,0.229059133
chenodeoxycholic.acid.sulfate..1.,3.35E-10,9.87E-09,0.226468708
deoxycholic.acid.12.sulfate.,1.63E-18,3.69E-16,0.312644385
X.16397,6.52E-10,1.64E-08,-0.222795422
X.22520,3.52E-12,2.17E-10,0.250013861
X.23662,2.73E-16,4.11E-14,0.292410183
X.24410,2.70E-16,4.11E-14,0.292444183
X.26107,5.11E-09,9.77E-08,0.211033965
X.26108,3.10E-18,6.01E-16,0.310186522
