...1,Fuzzy Name,P value serum metformin,Q value serum metformin,Spearman Rho serum metformin,P value HbA1c,Q value HbA1c,Spearman Rho HbA1c,CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
1,arginine,2.42e-35,9.97e-34,-0.395963417,1.77e-7,5.4e-7,-0.173184819,231,400,1638,155435,Amino Acid,Urea cycle; Arginine and Proline Metabolism,483,NAMED,ODKSFYDXXFIFQN-UHFFFAOYAT,N=C(N)NCCCC(N)C(O)=O,arginine,arginine,1119-34-2,227,HMDB0000517,C00062,6322,Pos Early
2,deoxycholate,2.47e-22,3.17e-21,0.315270666,1.3300000000000001e-21,1.47e-20,0.311098681,302,209,1114,125714,Lipid,Secondary Bile Acid Metabolism,3480,NAMED,KXGVEGMKQFWNSR-LLQZFEROBK,CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O,deoxycholate,deoxycholate,83-44-3,389318,HMDB0000626,C04483,"222528,440355",Neg
3,lactose,8.6e-40,6.48e-38,0.419053641,3.3400000000000003e-63,2.8299999999999997e-61,0.519449242,393,305,567,147468,Carbohydrate,Disaccharides and Oligosaccharides,1305,NAMED,GUBGYTABKSRVRQ-DCSYEGIMBP,O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O,lactose,lactose,5965-66-2,5904,HMDB0041627,C01970,6134,Polar
9,indolebutyrate,4.64e-7,1.53e-6,-0.166612549,2.83e-5,6.7e-5,-0.139233276,100001404,209,34402,150358,Amino Acid,Tryptophan Metabolism,317,NAMED,JTEDVYBZBROSJT-UHFFFAOYAT,OC(CCCC1=CNC2=C1C=CC=C2)=O,indolebutyrate,indolebutyrate,133-32-4,8298,HMDB0002096,C11284,8617,Neg
11,orotidine,1.46e-20,1.66e-19,0.302172109,1.71e-10,7.48e-10,0.210959756,100001416,305,35172,147813,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4210,NAMED,FKCRAVPPBFWEJD-XVFCMESIBQ,O=C(C=C(C(O)=O)N1[C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)NC1=O,orotidine,orotidine,314-50-1,83729,HMDB0000788,NA,92751,Polar
17,palmitoloelycholine,1.68e-27,3.46e-26,-0.350171297,6.1900000000000005e-65,6e-63,-0.52562339,100009334,402,53257,179341,Lipid,Fatty Acid Metabolism (Acyl Choline),1946,NAMED,NA,O=C(CCCCCCC/[C-]=C/CCCCCC)OCC[N+](C)(C)C,palmitoloelycholine,palmitoloelycholine,NA,NA,HMDB0013208,NA,NA,Pos Late
8,erythronate.,6.66e-29,1.5300000000000001e-27,0.358922105,4.87e-25,7.039999999999999e-24,0.335329037,100001320,305,42420,148204,Carbohydrate,Aminosugar Metabolism,1432,NAMED,JPIJQSOTBSSVTP-PWNYCUMCBA,OC[C@@H](O)[C@@H](O)C(O)=O,erythronate*,erythronate*,88759-55-1,2061231,HMDB0000613,NA,2781043,Polar
10,N4.acetylcytidine,1.24e-14,8.53e-14,0.252537982,3.19e-9,1.22e-8,0.195956831,100001413,400,35130,156149,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4257,NAMED,NIDVTARKFBZMOT-PEBGCTIMBU,O[C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(N2C(N=C(NC(C)=O)C=C2)=O)[H],N4-acetylcytidine,N4-acetylcytidine,3768-18-1,96702,HMDB0005923,NA,107461,Pos Early
32,X.10458,0.002370048,0.004793077,0.100916427,2.44e-10,1.04e-9,0.209201424,999910458,209,47478,148974,NA,NA,NA,UNNAMED,NA,NA,X-10458,X-10458,NA,NA,NA,NA,NA,Neg
33,X.16087,1.55e-16,1.21e-15,0.269590743,5.66e-13,3.28e-12,0.23743478,999916087,209,47988,150190,NA,NA,NA,UNNAMED,NA,NA,X-16087,X-16087,NA,NA,NA,NA,NA,Neg
