Name,Effect Size of HbA1c,Effect Size of Serum Metformin
arginine,-0.173184819,-0.395963417
deoxycholate,0.311098681,0.315270666
lactose,0.519449242,0.419053641
X3.methyl.2.oxovalerate,0.353157822,0.373207038
X1.stearoyl.GPI..18.0.,-0.223770708,-0.228802301
X5.dodecenoate..12.1n7.,-0.185362884,-0.210304743
erythronate.,0.335329037,0.358922105
N4.acetylcytidine,0.195956831,0.252537982
orotidine,0.210959756,0.302172109
sphingomyelin..d18.2.14.0..d18.1.14.1..,-0.196776059,-0.245061732
X5alpha.androstan.3alpha.17beta.diol.monosulfate..2.,0.164017591,0.185032062
X1.palmitoyl.2.docosahexaenoyl.GPE..16.0.22.6..,0.217765585,0.222599908
X1.stearoyl.2.docosahexaenoyl.GPE..18.0.22.6..,0.35677866,0.319412806
palmitoloelycholine,-0.52562339,-0.350171297
dihomo.linolenoyl.choline,-0.540184315,-0.349558574
linoleoyl.arachidonoyl.glycerol..18.2.20.4...2..,0.312161475,0.291157747
oleoyl.arachidonoyl.glycerol..18.1.20.4...2..,0.391580625,0.353552499
linoleoyl.linoleoyl.glycerol..18.2.18.2...1..,0.232872231,0.236218084
linoleoyl.linoleoyl.glycerol..18.2.18.2...2..,0.175890085,0.097504181
glycosyl.ceramide..d18.2.24.1..d18.1.24.2..,-0.409849825,-0.427746446
glycosyl.ceramide..d18.1.23.1..d17.1.24.1..,-0.291606547,-0.210344514
sphingomyelin..d18.2.23.1..,-0.247719211,-0.288586135
N.stearoylserine.,-0.390231065,-0.333344081
X2.hydroxyheptanoate.,0.273422495,0.299561157
dihydroferulic.acid.sulfate,0.170619711,0.236976341
X3.hydroxyhexanoylcarnitine..1.,0.15879597,0.268630114
X.10458,0.209201424,0.100916427
X.16087,0.23743478,0.269590743
X.16397,-0.248701135,-0.429851671
X.23662,0.399644175,0.383460779
X.24411,0.237815859,0.275849111
X.24736,-0.212160571,-0.154601617
X12.13.DiHOME,NA,-0.228744764
X3.hydroxy.3.methylglutarate,NA,0.252365335
cholate,NA,-0.188007086
X4.hydroxyphenylacetate,NA,0.290312453
N6.N6.N6.trimethyllysine,NA,-0.616790843
N.formylmethionine,NA,0.207075774
X2.hydroxyphenylacetate,NA,0.156865573
fumarate,NA,0.136462125
citrulline,NA,-0.459528256
malate,NA,0.264063688
retinol..Vitamin.A.,NA,0.236695788
adenosine,NA,0.069340546
alanine,NA,0.40938392
caproate..6.0.,NA,0.156482871
pantothenate,NA,0.182276338
N.acetylalanine,NA,0.166872497
choline,NA,0.068327291
benzoate,NA,0.159685137
N.acetylglutamate,NA,0.209292995
maleate,NA,0.3164341
X4.acetylphenol.sulfate,NA,-0.21249581
X3.hydroxyoctanoate,NA,0.430312101
homocitrulline,NA,0.28054384
X3.hydroxydecanoate,NA,0.344956688
glycolithocholate,NA,0.16008248
X3.hydroxylaurate,NA,0.146635898
X3.hydroxysebacate,NA,0.366087421
X5.hydroxyhexanoate,NA,0.126288192
X2.hydroxyadipate,NA,0.066523531
