"","Status","AGE","GENDER","CENTER_C","GLYCATHB","Status","AGE","GENDER","CENTER_C","GLYCATHB","Status","AGE","GENDER","CENTER_C","GLYCATHB","Status","AGE","GENDER","CENTER_C","GLYCATHB"
"S.1.pyrroline.5.carboxylate","0.000822697073942441","0.374229123772082","0.00815532562840109","0.00763986148041225","0.000891838542025113","0.00145554097697509","0.455860790806746","0.0174279950830556","0.0106222254394666","0.00173384656379381","0.139344879300062","-0.0296870960659527","Inf","Inf","0.110689780083189","OK_sd","NS","OK_sd","OK_sd","C: Status"
"spermidine","0.386562537436682","0.0399143493341347","0.0255936766210316","2.41848004668477e-81","0.00767731144269023","0.437867582054739","0.0634236206632563","0.0479043023099861","3.64653047039026e-79","0.0130552777289858","-0.0360739080839138","-0.0685788196705583","Inf","Inf","0.0889112106439481","NS","C: GENDER, CENTER_C, GLYCATHB","C: GLYCATHB","OK_sd","C: CENTER_C"
"X1.methylnicotinamide","0.0361746805935384","0.441341359993617","0.0885965409026556","0.000825929768999508","0.0208774175984528","0.0500908587402363","0.519105057760961","0.141608369852654","0.00135197430221029","0.0324892840379592","-0.0872722219327045","0.0257244792782327","Inf","Inf","-0.0770848093152779","C: CENTER_C","NS","NS","OK_sd","C: CENTER_C"
"X12.13.DiHOME","4.45719537674262e-09","0.114601358830721","6.65911753112763e-05","0.641893266078194","1.24393796604284e-05","1.3684194855746e-08","0.161993795763841","0.000234104209578762","0.661891460538077","3.07472462644833e-05","-0.237213449835264","-0.0526901628659928","Inf","Inf","-0.14524851451062","OK_sd","NS","OK_sd","NS","C: Status"
"alpha.ketoglutarate","8.37579933439075e-29","0.0493764867126872","0.0144051564741401","0.00279554908655708","3.15486093251885e-26","1.07226034875172e-27","0.0771045943257957","0.0288741467288155","0.00419641605139154","4.92085779934261e-25","0.463882664257879","0.065604503270846","Inf","Inf","0.34323054497079","OK_sd","C: Status","C: Status, GLYCATHB","OK_sd","OK_sd"
"kynurenate","0.000136403156157914","0.00151235306106515","4.17073505109901e-07","0.00972868385855356","0.000267256131579382","0.000266329615692502","0.00312368813373731","2.33871382824023e-06","0.0133600760929113","0.000557091506226146","0.158904696556476","0.105711608350757","Inf","Inf","0.121358761923832","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"X3.hydroxyisobutyrate","1.59126111753285e-10","0.000893312917875801","2.11437331448551e-09","0.099660298469554","2.64746087876937e-09","5.56531272291771e-10","0.00191202780687297","1.5940025487538e-08","0.11519508093968","1.02353402065243e-08","0.266448949340189","0.110674521473238","Inf","Inf","0.19694946552773","OK_sd","OK_sd","OK_sd","NS","C: Status"
"X3.hydroxy.3.methylglutarate","2.46154166685192e-15","8.69186512503399e-24","0.000444096641514957","0.0245236480775004","1.91378816777074e-13","1.29973231203037e-14","4.36846702765597e-22","0.0012972294463344","0.0314542442733157","1.17511789306104e-12","0.32973173287937","0.326756303287854","Inf","Inf","0.242105913052982","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"homovanillate..HVA.","0.519638209699333","3.49497727008058e-06","0.100509532502505","0.0115551056420992","0.423304758851741","0.567752858745567","1.11330613978858e-05","0.156591774518828","0.0156802783563287","0.485976783216424","-0.0268093409997626","0.154106228769901","Inf","Inf","-0.0267522190487562","NS","OK_sd","NS","OK_sd","NS"
"cholate","0.179697896785657","0.0708580453407783","0.387523803231598","0.137303886537214","0.381025153201666","0.219486990043327","0.105316941432022","0.484672627636202","0.155917467808368","0.441924045209111","-0.0558942912895698","0.060309013529811","Inf","Inf","0.0292673017199799","NS","NS","NS","NS","NS"
"X4.hydroxyphenylacetate","8.31936055447847e-14","4.96563176517288e-11","2.26004574968847e-07","0.0360529797916644","4.50107624705065e-10","4.01757020371078e-13","3.58423526879766e-10","1.31063336851592e-06","0.0448021003455024","1.85652293837317e-09","0.310808854609991","0.216993255809689","Inf","Inf","0.206132465764623","OK_sd","OK_sd","OK_sd","C: Status, GLYCATHB","C: Status"
"X5.6.dihydrothymine","0.000209835385796263","0.152040139625062","0.00755203902038312","0.0984804972414584","0.000238451231253558","0.000397690807996548","0.207563852586729","0.0162668523026348","0.114025626925477","0.000501671815210973","-0.15441717187509","0.0478378166713375","Inf","Inf","-0.122324448702108","AD","NS","OK_sd","NS","AD"
"hypoxanthine","5.17787287443132e-06","0.962890602888972","0.49252808803486","1.0627230369198e-49","0.0460539537796977","1.21774237272154e-05","0.970759693997277","0.586795974945834","4.80705053700054e-48","0.0657844371358419","0.189848350617541","0.00155477450540177","Inf","Inf","0.0665894764356574","C: CENTER_C","NS","NS","OK_sd","C: CENTER_C"
