"","Status","GLYCATHB","Status","GLYCATHB","Status","GLYCATHB","Status","GLYCATHB"
"S.1.pyrroline.5.carboxylate","0.000822697073942441","0.000891838542025113","0.00145554097697509","0.00173384656379381","0.139344879300062","0.110689780083189","OK_sd","C: Status"
"spermidine","0.386562537436682","0.00767731144269023","0.437867582054739","0.0130552777289858","-0.0360739080839138","0.0889112106439481","NS","OK_nc"
"X1.methylnicotinamide","0.0361746805935384","0.0208774175984528","0.0500908587402363","0.0324892840379592","-0.0872722219327045","-0.0770848093152779","AD","AD"
"X12.13.DiHOME","4.45719537674262e-09","1.24393796604284e-05","1.3684194855746e-08","3.07472462644833e-05","-0.237213449835264","-0.14524851451062","OK_sd","C: Status"
"alpha.ketoglutarate","8.37579933439075e-29","3.15486093251885e-26","1.07226034875172e-27","4.92085779934261e-25","0.463882664257879","0.34323054497079","OK_sd","OK_sd"
"kynurenate","0.000136403156157914","0.000267256131579382","0.000266329615692502","0.000557091506226146","0.158904696556476","0.121358761923832","OK_sd","C: Status"
"X3.hydroxyisobutyrate","1.59126111753285e-10","2.64746087876937e-09","5.56531272291771e-10","1.02353402065243e-08","0.266448949340189","0.19694946552773","OK_sd","C: Status"
"X3.hydroxy.3.methylglutarate","2.46154166685192e-15","1.91378816777074e-13","1.29973231203037e-14","1.17511789306104e-12","0.32973173287937","0.242105913052982","OK_sd","C: Status"
"homovanillate..HVA.","0.519638209699333","0.423304758851741","0.567752858745567","0.485976783216424","-0.0268093409997626","-0.0267522190487562","NS","NS"
"cholate","0.179697896785657","0.381025153201666","0.219486990043327","0.441924045209111","-0.0558942912895698","0.0292673017199799","NS","NS"
"X4.hydroxyphenylacetate","8.31936055447847e-14","4.50107624705065e-10","4.01757020371078e-13","1.85652293837317e-09","0.310808854609991","0.206132465764623","OK_sd","C: Status"
"X5.6.dihydrothymine","0.000209835385796263","0.000238451231253558","0.000397690807996548","0.000501671815210973","-0.15441717187509","-0.122324448702108","AD","AD"
"hypoxanthine","5.17787287443132e-06","0.0460539537796977","1.21774237272154e-05","0.0657844371358419","0.189848350617541","0.0665894764356574","OK_sd","OK_sd"
"X9.10.DiHOME","1.35334100577983e-05","0.0202231561215434","2.9958951791896e-05","0.0316161553651318","-0.174370733232581","-0.0774836052595998","OK_sd","OK_sd"
"linoleate..18.2n6.","0.00477932973124624","0.000540327820106406","0.00767278239880696","0.00107510975349618","0.117538404525741","0.115234839267865","C: GLYCATHB","OK_sd"
"laurate..12.0.","0.0508485783813576","0.0135926942165331","0.0682507624762634","0.02188052912436","-0.0813486893532753","-0.0823280865638059","AD","AD"
