Name,p,q,D
alpha.ketoglutarate,3.15E-26,4.92E-25,0.343230545
X5.methylthioadenosine..MTA.,4.33E-12,2.25E-11,0.228374529
arginine,1.77E-07,5.40E-07,-0.173184819
aspartate,6.35E-09,2.35E-08,0.192249892
choline.phosphate,2.16E-10,9.29E-10,-0.209805151
deoxycholate,1.33E-21,1.47E-20,0.311098681
gluconate,2.32E-44,1.09E-42,0.442561752
glutarate..C5.DC.,2.00E-08,7.00E-08,0.185896065
glycocholate,2.25E-08,7.78E-08,0.185223383
isoleucine,1.40E-56,1.00E-54,0.494592513
lactose,3.34E-63,2.83E-61,0.519449242
leucine,2.18E-56,1.48E-54,0.493842111
leukotriene.B4,1.46E-08,5.21E-08,0.187666712
orotate,1.65E-08,5.85E-08,-0.186976416
phytanate,6.08E-08,1.96E-07,-0.179527736
pyridoxal,1.13E-11,5.56E-11,-0.223971624
glutamate,1.89E-44,9.16E-43,0.442977526
glutamine,7.00E-12,3.53E-11,-0.226189066
valine,1.78E-47,1.01E-45,0.45670803
glucose,8.21E-158,1.11E-154,0.742055735
alpha.ketobutyrate,6.25E-25,8.83E-24,0.334601592
mannose,1.96E-101,5.82E-99,0.632315282
pyruvate,7.88E-55,4.86E-53,0.487673311
arabinose,5.51E-09,2.06E-08,0.193015611
fructose,9.24E-40,3.22E-38,0.420377252
maltose,4.95E-22,5.69E-21,0.314249296
xanthine,3.57E-16,2.72E-15,0.267449252
glycerate,7.81E-15,5.49E-14,-0.255352509
N.acetylleucine,1.06E-42,4.48E-41,0.434755077
bilirubin..Z.Z.,8.38E-17,6.61E-16,-0.272922524
vanillylmandelate..VMA.,3.42E-06,8.91E-06,-0.154248356
X3.aminoisobutyrate,1.65E-14,1.12E-13,-0.25232805
chenodeoxycholate,1.00E-06,2.79E-06,0.162361106
urate,4.39E-12,2.28E-11,0.228313077
gamma.glutamylglutamine,7.28E-13,4.15E-12,-0.236334696
gamma.glutamylleucine,4.38E-31,9.43E-30,0.373365414
beta.hydroxyisovalerate,3.82E-15,2.74E-14,0.258212025
X1.palmitoyl.2.oleoyl.GPE..16.0.18.1.,3.41E-28,6.17E-27,0.355819316
X1.palmitoyl.2.linoleoyl.GPI..16.0.18.2.,3.55E-07,1.04E-06,0.168917651
X3.methyl.2.oxovalerate,9.04E-28,1.57E-26,0.353157822
methionine.sulfoxide,5.52E-07,1.57E-06,0.16616777
glycerol.3.phosphate,2.31E-10,9.87E-10,-0.209491636
imidazole.lactate,3.98E-15,2.85E-14,-0.258045435
ribitol,3.44E-40,1.23E-38,0.422517048
X4.methyl.2.oxopentanoate,5.48E-19,5.17E-18,0.291017151
X1.5.anhydroglucitol..1.5.AG.,3.88E-64,3.51E-62,-0.522795882
X1.stearoyl.GPI..18.0.,1.18E-11,5.79E-11,-0.223770708
alpha.hydroxyisocaproate,8.65E-10,3.48E-09,0.202795406
cysteine.s.sulfate,3.36E-11,1.57E-10,0.218860261
oxalate..ethanedioate.,1.98E-17,1.60E-16,-0.278260205
ribonate,1.12E-21,1.26E-20,0.311634715
threonate,6.12E-14,3.93E-13,-0.246918884
butyrylcarnitine..C4.,2.26E-12,1.21E-11,0.231322008
X7.ketodeoxycholate,8.57E-08,2.73E-07,0.177516329
trigonelline..N..methylnicotinate.,4.73E-08,1.55E-07,-0.180981902
X3.methylxanthine,4.21E-06,1.09E-05,-0.152845987
pyridoxate,5.21E-08,1.69E-07,-0.18043174
gamma.glutamylvaline,2.99E-26,4.71E-25,0.343385339
pro.hydroxy.pro,4.87E-23,6.12E-22,-0.321494417
X10.undecenoate..11.1n1.,3.06E-10,1.29E-09,-0.208069747
X5.dodecenoate..12.1n7.,2.20E-08,7.61E-08,-0.185362884
X1.stearoyl.GPC..18.0.,6.59E-38,2.08E-36,-0.410951754
X1.oleoyl.GPC..18.1.,5.82E-45,2.93E-43,-0.445343112
alpha.hydroxyisovalerate,8.94E-13,5.03E-12,0.235432599
erythronate.,4.87E-25,7.04E-24,0.335329037
Fibrinopeptide.A.,3.25E-47,1.76E-45,0.455545044
stearoylcarnitine..C18.,2.98E-08,1.01E-07,-0.183646271
X7.methylxanthine,9.99E-07,2.78E-06,-0.162381213
N2.N2.dimethylguanosine,3.40E-13,2.03E-12,0.239640982
N4.acetylcytidine,3.19E-09,1.22E-08,0.195956831
orotidine,1.71E-10,7.48E-10,0.210959756
cysteine.glutathione.disulfide,3.06E-12,1.62E-11,-0.229946749
gamma.glutamylisoleucine.,1.02E-41,3.94E-40,0.430027245
X1.palmitoleoyl.GPC..16.1..,9.49E-12,4.70E-11,-0.224786197
hexanoylglycine,7.18E-11,3.29E-10,-0.215215454
glutamine_degradant.,9.73E-13,5.43E-12,-0.235058736
X2.hydroxy.3.methylvalerate,5.65E-19,5.29E-18,0.290914379
homostachydrine.,8.11E-09,2.96E-08,-0.19091206
glutarylcarnitine..C5.DC.,2.33E-08,7.98E-08,-0.185036866
N.acetyl.aspartyl.glutamate..NAAG.,5.75E-08,1.86E-07,-0.179849304
X3.methyladipate,1.90E-07,5.75E-07,-0.172760565
pyrraline,1.48E-07,4.54E-07,0.174270239
dimethylarginine..SDMA...ADMA.,7.07E-07,1.99E-06,-0.164596073
X1.stearoyl.2.oleoyl.GPE..18.0.18.1.,3.44E-26,5.31E-25,0.342980681
X1.palmitoyl.2.linoleoyl.GPE..16.0.18.2.,1.75E-08,6.16E-08,0.1866608
glycosyl.N.stearoyl.sphingosine..d18.1.18.0.,1.41E-14,9.73E-14,-0.252955979
glycocholenate.sulfate.,3.61E-06,9.38E-06,0.153892865
X5alpha.pregnan.3beta.20alpha.diol.monosulfate..2.,3.93E-08,1.30E-07,-0.18205962
gamma.CEHC,2.59E-06,6.87E-06,-0.156132587
cysteine.sulfinic.acid,1.04E-07,3.31E-07,0.176351055
X5.HETE,6.78E-07,1.92E-06,0.164863001
cinnamoylglycine,7.41E-33,1.86E-31,-0.383602385
S.methylcysteine,6.31E-12,3.23E-11,-0.226659258
argininate.,4.67E-18,3.96E-17,0.283472965
leukotriene.B5,5.97E-08,1.93E-07,0.179633792
X1..1.enyl.palmitoyl..GPC..P.16.0..,1.17E-57,9.33E-56,-0.498787013
isoleucylglycine,2.47E-23,3.22E-22,-0.32358376
X2.O.methylascorbic.acid,3.43E-16,2.63E-15,0.267598961
imidazole.propionate,3.71E-18,3.19E-17,0.284294541
pregnanediol.3.glucuronide,4.64E-13,2.74E-12,-0.238291339
phenylalanylglycine,1.82E-08,6.41E-08,-0.18641825
valylglycine,1.30E-07,4.04E-07,-0.175029878
mannonate.,1.11E-78,1.67E-76,0.570549189
dimethyl.sulfone,1.50E-06,4.11E-06,0.159721719
X2.piperidinone,2.11E-14,1.43E-13,0.251325104
X2.aminophenol.sulfate,3.14E-08,1.06E-07,-0.183340237
X6.oxopiperidine.2.carboxylate,4.19E-13,2.49E-12,0.238736084
X2.aminoheptanoate,6.56E-28,1.16E-26,0.35403675
X1.linolenoyl.GPC..18.3..,1.15E-19,1.13E-18,-0.296366262
fructosyllysine,1.61E-71,1.99E-69,0.54799488
ferulic.acid.4.sulfate,4.93E-06,1.27E-05,0.151759475
methyl.glucopyranoside..alpha...beta.,2.36E-35,6.67E-34,-0.397443072
X2.keto.3.deoxy.gluconate,1.06E-31,2.53E-30,0.376956746
sphingomyelin..d18.2.14.0..d18.1.14.1..,2.74E-09,1.05E-08,-0.196776059
X5alpha.androstan.3alpha.17beta.diol.monosulfate..2.,7.74E-07,2.18E-06,0.164017591
myristoleoylcarnitine..C14.1..,6.08E-06,1.56E-05,-0.150305124
N.acetylhistamine,2.70E-11,1.28E-10,0.219892526
X4.hydroxyphenylacetoylcarnitine,7.99E-08,2.56E-07,0.177930096
X2.hydroxylaurate,3.79E-07,1.10E-06,0.168511173
X1.palmitoyl.2.docosahexaenoyl.GPE..16.0.22.6..,4.23E-11,1.96E-10,0.217765585
X1.stearoyl.2.docosahexaenoyl.GPE..18.0.22.6..,2.40E-28,4.45E-27,0.35677866
X1..1.enyl.palmitoyl..2.oleoyl.GPC..P.16.0.18.1..,1.54E-72,2.10E-70,-0.551308156
palmitoyl.linoleoyl.glycerol..16.0.18.2...1..,9.14E-14,5.83E-13,0.245234811
palmitoyl.linoleoyl.glycerol..16.0.18.2...2..,1.95E-22,2.33E-21,0.317175919
X1..1.enyl.palmitoyl..2.palmitoleoyl.GPC..P.16.0.16.1..,3.81E-49,2.25E-47,-0.464018414
X1.linoleoyl.GPG..18.2..,9.33E-12,4.64E-11,0.224861527
palmitoylcholine,9.02E-103,4.08E-100,-0.635554732
glycochenodeoxycholate.glucuronide..1.,6.01E-18,5.00E-17,0.282569428
oleoylcholine,4.65E-101,1.05E-98,-0.631401546
arachidonoylcholine,1.76E-82,2.98E-80,-0.581844037
docosahexaenoylcholine,2.68E-86,5.20E-84,-0.592759024
palmitoloelycholine,6.19E-65,6.00E-63,-0.52562339
dihomo.linolenoyl.choline,3.65E-69,3.81E-67,-0.540184315
eicosapentaenoylcholine,2.41E-69,2.72E-67,-0.540791388
X1.palmitoleoyl.2.linolenoyl.GPC..16.1.18.3..,8.59E-10,3.47E-09,-0.202834893
linoleoyl.arachidonoyl.glycerol..18.2.20.4...1..,2.62E-28,4.81E-27,0.356533843
linoleoyl.arachidonoyl.glycerol..18.2.20.4...2..,9.53E-22,1.08E-20,0.312161475
palmitoyl.arachidonoyl.glycerol..16.0.20.4...2..,2.10E-21,2.24E-20,0.3096278
oleoyl.arachidonoyl.glycerol..18.1.20.4...2..,2.79E-34,7.71E-33,0.391580625
linoleoyl.linoleoyl.glycerol..18.2.18.2...1..,1.59E-12,8.69E-12,0.232872231
linoleoyl.linoleoyl.glycerol..18.2.18.2...2..,1.13E-07,3.54E-07,0.175890085
glycosyl.N.behenoyl.sphingadienine..d18.2.22.0..,1.38E-38,4.57E-37,-0.4144392
X2.hydroxybehenate,8.63E-24,1.18E-22,0.32677838
N.palmitoylserine,1.50E-13,9.28E-13,-0.243132102
N.oleoylserine,1.59E-17,1.31E-16,-0.279058588
glycosyl.ceramide..d18.2.24.1..d18.1.24.2..,1.07E-37,3.31E-36,-0.409849825
glycosyl.ceramide..d18.1.23.1..d17.1.24.1..,4.63E-19,4.39E-18,-0.291606547
stearoylcholine.,2.15E-101,5.82E-99,-0.632222101
linoleoylcholine.,2.81E-115,1.91E-112,-0.664065642
sphingomyelin..d18.2.21.0..d16.2.23.0..,2.85E-06,7.52E-06,-0.155477417
sphingomyelin..d18.2.23.1..,5.05E-14,3.30E-13,-0.247719211
sphingomyelin..d17.2.16.0..d18.2.15.0..,2.43E-07,7.21E-07,-0.171259953
linolenoylcarnitine..C18.3..,2.98E-07,8.76E-07,-0.169998534
ximenoylcarnitine..C26.1..,6.14E-07,1.74E-06,-0.165497143
eicosenoylcarnitine..C20.1..,7.05E-10,2.87E-09,-0.203845883
cortolone.glucuronide..1.,2.13E-29,4.24E-28,0.36326618
X5.dodecenoylcarnitine..C12.1.,1.26E-08,4.52E-08,-0.188487768
trans.2.hexenoylglycine,2.03E-07,6.10E-07,-0.172362484
N.stearoylserine.,4.88E-34,1.30E-32,-0.390231065
X2.hydroxyheptanoate.,7.33E-17,5.82E-16,0.273422495
glucuronide.of.C10H18O2..7..,2.83E-07,8.35E-07,0.170332458
hydroxyasparagine..,3.07E-09,1.18E-08,0.196154164
dihydroferulic.acid.sulfate,2.70E-07,7.99E-07,0.170619711
sphingomyelin..d17.1.14.0..d16.1.15.0..,4.36E-19,4.16E-18,-0.29181425
N.N.dimethylalanine,8.49E-27,1.40E-25,-0.346939368
ethyl.beta.glucopyranoside,1.57E-16,1.22E-15,-0.270568649
enterolactone.sulfate,9.10E-11,4.16E-10,-0.214068752
X3.hydroxyhexanoylcarnitine..1.,1.73E-06,4.68E-06,0.15879597
X2.acrylamidoglycolic.acid,3.37E-08,1.13E-07,-0.182933756
tetradecadienedioate..C14.2.DC..,3.81E-07,1.10E-06,-0.168488594
X2.hydroxy.4..methylthio.butanoic.acid,4.72E-13,2.77E-12,0.238221911
chenodeoxycholic.acid.sulfate..1.,1.55E-23,2.08E-22,0.325009295
X3.bromo.5.chloro.2.6.dihydroxybenzoic.acid.,3.46E-08,1.15E-07,0.182783463
deoxycholic.acid.12.sulfate.,1.37E-30,2.85E-29,0.370442795
GlcNAc.sulfate.conjugate.of.C21H34O2.steroid..,1.54E-06,4.19E-06,0.159561229
X2.methoxyhydroquinone.sulfate..1.,1.21E-11,5.91E-11,0.223659073
tetrahydrocortisol.glucuronide,4.19E-20,4.12E-19,0.299784878
tetrahydrocortisone.glucuronide..5.,8.56E-27,1.40E-25,0.346916918
perfluorohexanesulfonate..PFHxS.,1.38E-12,7.58E-12,0.233513711
X.10458,2.44E-10,1.04E-09,0.209201424
X.11308,1.61E-21,1.76E-20,0.310478627
X.11315,5.88E-29,1.16E-27,-0.360560336
X.11378,1.11E-23,1.51E-22,0.326015652
X.11444,1.28E-14,8.87E-14,0.253354689
X.11880,6.55E-14,4.19E-13,0.246631608
X.12456,1.50E-57,1.13E-55,0.498364449
X.12544,1.37E-13,8.59E-13,-0.2435165
X.12798,1.46E-06,3.99E-06,-0.15992481
X.12816,4.38E-08,1.44E-07,-0.181431817
X.13431,5.46E-10,2.23E-09,-0.205148108
X.13658,2.35E-18,2.07E-17,0.285914273
X.15245,2.39E-26,3.82E-25,0.344016367
X.16087,5.66E-13,3.28E-12,0.23743478
X.16397,3.99E-14,2.64E-13,-0.248701135
X.16935,1.75E-37,5.27E-36,0.408752029
X.17010,5.92E-13,3.42E-12,0.237236471
X.17354,9.03E-23,1.08E-21,-0.319584105
X.17357,2.48E-16,1.91E-15,0.268840288
X.17653,7.81E-13,4.43E-12,0.236025601
X.17654,9.25E-13,5.19E-12,0.235279313
X.17765,3.06E-08,1.04E-07,0.183484461
X.18887,1.19E-18,1.07E-17,-0.288326077
X.18921,2.19E-11,1.04E-10,-0.220890511
X.21312,7.62E-08,2.45E-07,-0.178203251
X.21319,2.41E-07,7.19E-07,-0.171301455
X.21339,6.45E-23,8.04E-22,0.32062469
X.21442,3.44E-09,1.31E-08,-0.195552093
X.21467,4.42E-42,1.82E-40,0.431772684
X.21471,3.42E-34,9.29E-33,0.391086645
X.21742,1.97E-13,1.21E-12,-0.241975166
X.22162,2.87E-07,8.46E-07,-0.17023927
X.22509,4.54E-14,2.99E-13,-0.248157151
X.23593,4.02E-07,1.16E-06,0.16815005
X.23639,1.62E-11,7.85E-11,-0.222300117
X.23662,9.22E-36,2.72E-34,0.399644175
X.24295,9.97E-32,2.42E-30,0.377121286
X.24411,5.18E-13,3.03E-12,0.237815859
X.24475,1.97E-18,1.75E-17,-0.286538766
X.24556,1.99E-10,8.58E-10,-0.210215925
X.24588,2.31E-08,7.95E-08,0.185076076
X.24608,4.53E-07,1.30E-06,0.16740615
X.24736,1.34E-10,5.96E-10,-0.212160571
X.24812,2.97E-06,7.80E-06,0.155214323
X.24951,6.57E-12,3.35E-11,0.226476775
X.25519,8.11E-21,8.33E-20,0.305231515
X.25936,8.07E-34,2.07E-32,0.389017529
