"","Status","AGE","GENDER","CENTER_C","sitagliptin","Status","AGE","GENDER","CENTER_C","sitagliptin","Status","AGE","GENDER","CENTER_C","sitagliptin","Status","AGE","GENDER","CENTER_C","sitagliptin"
"S.1.pyrroline.5.carboxylate","0.000465195887046468","0.473092961522177","0.00589998365928189","0.00810817945411454","0.0170925077268001","0.000847343380834975","0.55343719722896","0.0131250456158123","0.0111817068284893","0.0571293915893295","0.144978582709372","-0.0238786364636194","Inf","Inf","0.0792553165284785","OK_sd","NS","OK_sd","OK_sd","C: Status, GENDER, CENTER_C"
"spermidine","0.325683833843678","0.0447161329710827","0.0219715725979265","2.42246606910444e-82","0.00720955959080351","0.375810342283904","0.0701500490656177","0.041699893727813","3.65254050641636e-80","0.0288595055006501","-0.040715576108075","-0.0667432403929161","Inf","Inf","-0.0892641253351207","NS","C: GENDER, CENTER_C, sitagliptin","OK_sd","OK_sd","C: CENTER_C"
"X1.methylnicotinamide","0.0199969961239384","0.489890626009334","0.0795515396017102","0.000877545884564713","0.375362395006402","0.0287456819281614","0.568734695279105","0.128208360141949","0.00141934417801468","0.545360567477182","-0.0963664458659516","0.0229811556146166","Inf","Inf","0.0295017384512472","C: CENTER_C","NS","NS","OK_sd","NS"
"X12.13.DiHOME","2.65284537337676e-09","0.0976027442047025","5.83555174924659e-05","0.604349236825592","0.0616698232723248","8.31388261356179e-09","0.140601830027369","0.000205684252564354","0.624126266645608","0.151330832152884","-0.239419176712531","-0.0551011739832952","Inf","Inf","-0.0621422790866316","OK_sd","NS","OK_sd","NS","NS"
"alpha.ketoglutarate","4.69456071057827e-29","0.0478729205139009","0.00883391648847855","0.0026974634832673","0.0621366583804206","6.12549892716799e-28","0.074499487542848","0.0186432732112992","0.00404470491358423","0.152201165022077","0.463397452649041","0.0657870587681742","Inf","Inf","0.0620313255075552","OK_sd","C: Status","C: Status","OK_sd","NS"
"kynurenate","0.000101343488539132","0.00102028338793999","2.22759887995543e-07","0.0104660477627395","0.35975541596915","0.000201057184133922","0.00216670509770668","1.27010574794097e-06","0.0142737957930025","0.530063083029464","0.161021667253701","0.109017948424949","Inf","Inf","-0.0304783119135153","OK_sd","OK_sd","OK_sd","OK_sd","NS"
"X3.hydroxyisobutyrate","1.51368501768689e-10","0.00136739911025978","2.28327663923756e-09","0.0786304363351664","0.00354150092921901","5.32142634456247e-10","0.00284159355684919","1.69311825106304e-08","0.0921429206449229","0.0169218900033458","0.265261949939213","0.106265066561206","Inf","Inf","0.0968487233209308","OK_sd","C: Status","OK_sd","C: AGE, sitagliptin","OK_sd"
"X3.hydroxy.3.methylglutarate","2.21889545229316e-15","7.40676147635427e-24","0.000284126721519253","0.0249341904348123","7.79464667894776e-07","1.16707020494644e-14","3.59202566775965e-22","0.000858708153901173","0.0318903830537609","1.8663764761388e-05","0.328406030927249","0.326038293964744","Inf","Inf","0.163347311045708","OK_sd","OK_sd","OK_sd","C: sitagliptin","OK_sd"
"homovanillate..HVA.","0.446956742536354","3.48658568819221e-06","0.103668039543163","0.0135408803711392","0.985333089474604","0.499193662240192","1.10803203252385e-05","0.161142645658731","0.018103423313927","0.994011038790492","-0.0314839853203505","0.153530795216338","Inf","Inf","-0.000611926642980061","NS","OK_sd","NS","OK_sd","NS"
"cholate","0.131974360690951","0.0954676897562778","0.417514315478026","0.171242533259935","0.996403696416012","0.165363995805744","0.137965553779839","0.510880907217026","0.19078498984707","0.99861138555135","-0.0623998727460716","0.0554547595470016","Inf","Inf","0.000150035528973287","NS","NS","NS","NS","NS"
"X4.hydroxyphenylacetate","1.26356514225943e-13","5.83879531661259e-11","1.35800739943991e-07","0.0383199562153554","0.000467313620626533","5.87211608919877e-13","4.17012907612804e-10","8.08252649578929e-07","0.0474021700859045","0.0031866561969357","0.306772863099769","0.215394375907719","Inf","Inf","0.1160719704035","OK_sd","OK_sd","OK_sd","C: Status, sitagliptin","C: Status"
"X5.6.dihydrothymine","0.000209505853371527","0.161648236226668","0.0101692431652516","0.0754810147935825","0.00138116717749876","0.000394860337534947","0.220237606987539","0.0210681877484679","0.0889129662108432","0.00764997493822781","-0.15356254189722","0.0465617219940113","Inf","Inf","-0.106169764800072","OK_sd","NS","OK_sd","C: Status, GENDER","C: Status"
"hypoxanthine","3.7465948385661e-06","0.975764295093686","0.503904970698308","1.93270562216693e-50","0.0438887930816014","8.82661318738575e-06","0.981550888392982","0.596683285547647","8.74227176426843e-49","0.116859126350649","0.19157397202686","0.00101125025453026","Inf","Inf","0.067003214466181","C: CENTER_C","NS","NS","OK_sd","NS"
"X9.10.DiHOME","6.1397805348481e-06","0.00816057171911331","0.0599008581179267","0.0533155860757628","0.0767614811160622","1.40737874759947e-05","0.0149445287757581","0.100105251805451","0.0642533306437034","0.178365290880987","-0.180166566302705","-0.0878857786915579","Inf","Inf","-0.0588602792928458","OK_sd","OK_sd","NS","C: AGE","NS"
"linoleate..18.2n6.","0.00384271792193021","0.0803492691494828","9.7778544117377e-05","0.148984565831549","0.893451426701602","0.0062078193095944","0.11787454944416","0.000328429416750694","0.168056571765097","0.936950221046426","0.119743674229943","0.0581587033634627","Inf","Inf","0.00445839690695729","OK_sd","NS","OK_sd","NS","NS"
"laurate..12.0.","0.0582670007623294","0.168129287717727","2.95511868518508e-07","5.36210309376231e-18","0.0373775472528355","0.0773662622646585","0.227696051330295","1.66394027211459e-06","4.57633578505375e-17","0.105013108948443","-0.0784429572904002","0.0458535137093593","Inf","Inf","-0.0692079327266875","C: GENDER, CENTER_C","NS","OK_sd","OK_sd","NS"
"quinolinate","6.58321765754905e-13","5.59231428936257e-17","0.74055189344187","0.000372463397220903","0.160075707770029","2.84504024245034e-12","9.36885245761112e-16","0.797562634444935","0.000638979557558489","0.298996560794616","0.297728744617273","0.27340284255016","Inf","Inf","0.046736771835857","OK_sd","OK_sd","NS","OK_sd","NS"
"N..1..acetylspermidine","0.869162943065961","0.00248032268217178","0.00117765629475184","0.000200238640367968","0.568004906150097","0.887430647068153","0.00499376540015891","0.00306145515704645","0.00035519455552854","0.708439942689046","0.00682853669344302","0.100463019697675","Inf","Inf","0.0190049765839642","NS","OK_sd","OK_sd","OK_sd","NS"
"N6.N6.N6.trimethyllysine","2.11194392590085e-27","0.000567276040002367","0.00253761973008567","4.11174690786829e-12","1.22089342017745e-12","2.34910484217004e-26","0.00125578072803134","0.00612731312050934","1.91740225222587e-11","2.761253951968e-10","-0.449200686262257","-0.114357373235481","Inf","Inf","-0.233171515195755","OK_sd","C: Status","OK_sd","OK_sd","OK_sd"
"N.acetylputrescine","0.000107828295708076","3.81219915335683e-06","0.229570650542458","7.95992708960439e-06","0.0191049421227896","0.00021267877511026","1.203059128164e-05","0.314992287953605","1.71454302549098e-05","0.0623206886072728","0.160396759569609","0.152926349959368","Inf","Inf","0.0778890905421419","OK_sd","OK_sd","NS","OK_sd","OK_sd"
"N.formylmethionine","0.000591912615325744","1.67941522235985e-12","0.0521484082736768","2.00073774241816e-05","0.0423397360960215","0.00106106396168697","1.49932003733047e-11","0.089125176356901","4.12614151437909e-05","0.113772320559012","0.142297160646723","0.231760929680426","Inf","Inf","0.0675012902850555","OK_sd","OK_sd","C: Status, AGE","OK_sd","NS"
"S.adenosylhomocysteine..SAH.","3.80989062402925e-09","1.86583853235024e-08","3.99087640614694e-13","2.55942065598581e-13","0.0966927663399361","1.16704776000174e-08","9.10770823165208e-08","4.40294250661902e-12","1.36737552369006e-12","0.209603967928584","0.243719677774874","0.185578411586741","Inf","Inf","0.0552511121417004","OK_sd","OK_sd","OK_sd","OK_sd","NS"
"adenosine.5..monophosphate..AMP.","9.48832351415512e-05","5.15578577022614e-05","9.53620807874942e-05","3.61340199659153e-06","0.00077740000217506","0.000189626730614264","0.00013937054362942","0.000321906327434402","8.1316525860277e-06","0.00490665954861189","-0.161669298853578","-0.134151713662542","Inf","Inf","-0.111519558384236","OK_sd","OK_sd","OK_sd","OK_sd","OK_sd"
"X5.methylthioadenosine..MTA.","2.66205690678877e-33","6.17562294568185e-12","0.00303738158125205","1.21334962174629e-19","1.73970446090078e-06","4.40537953964921e-32","5.109951425177e-11","0.00719324049870687","1.21964106422942e-18","3.32504077949628e-05","0.498040062263529","0.225902107212069","Inf","Inf","0.158160434827421","OK_sd","OK_sd","C: Status","OK_sd","OK_sd"
"N6.methyladenosine","0.95414875017322","0.00190647450271044","0.72497960472814","0.000296955433744117","0.395877337663471","0.961946399691723","0.00388451336363073","0.783747918988485","0.000516626312295855","0.564884907685941","0.00238601115744264","0.103062205621922","Inf","Inf","-0.0282553680533455","NS","OK_sd","NS","OK_sd","NS"
"arachidonate..20.4n6.","0.860749767352422","0.875196570170028","0.950444047090276","0.0354265556767899","0.723393406803209","0.880209068799726","0.905905221754942","0.963220740777822","0.044023659389564","0.817356247320528","-0.00727165305125377","-0.00522808289775725","Inf","Inf","-0.0117808137083747","NS","NS","NS","OK_nc","NS"
"arginine","4.60282301314477e-17","0.000144256225532809","3.28085451846072e-05","2.33542871721885e-05","1.54640166526314e-05","2.78840662001672e-16","0.00036589850102434","0.000121642611517792","4.76567935227967e-05","0.000197074050524429","-0.347789531091998","-0.126011580993251","Inf","Inf","-0.143124794886322","OK_sd","C: Status","OK_sd","OK_sd","OK_sd"
"ascorbate..Vitamin.C.","0.401631652384634","0.304315394329466","0.263902132183228","5.12928542957258e-16","0.741222959880013","0.45229390231199","0.384145107074499","0.35492090522561","3.62522933746354e-15","0.830585926141353","-0.0326883528569643","0.0341833185957994","Inf","Inf","0.0109922189651066","NS","NS","NS","OK_nc","NS"
"aspartate","2.04141392758179e-07","0.55674578878242","0.184159518024658","0.270030761788519","0.200988313493979","5.41054433540721e-07","0.628016654511841","0.261680069067499","0.29298631501773","0.346998907648002","0.215206844443435","0.0195603745557487","Inf","Inf","0.0425463403909416","OK_nc","NS","NS","NS","NS"
