"","Status","sitagliptin","Status","sitagliptin","Status","sitagliptin","Status","sitagliptin"
"S.1.pyrroline.5.carboxylate","0.000465195887046468","0.0170925077268001","0.000847343380834975","0.0571293915893295","0.144978582709372","0.0792553165284785","OK_sd","C: Status"
"spermidine","0.325683833843678","0.00720955959080351","0.375810342283904","0.0288595055006501","-0.040715576108075","-0.0892641253351207","NS","OK_nc"
"X1.methylnicotinamide","0.0199969961239384","0.375362395006402","0.0287456819281614","0.545360567477182","-0.0963664458659516","0.0295017384512472","OK_nc","NS"
"X12.13.DiHOME","2.65284537337676e-09","0.0616698232723248","8.31388261356179e-09","0.151330832152884","-0.239419176712531","-0.0621422790866316","OK_nc","NS"
"alpha.ketoglutarate","4.69456071057827e-29","0.0621366583804206","6.12549892716799e-28","0.152201165022077","0.463397452649041","0.0620313255075552","OK_nc","NS"
"kynurenate","0.000101343488539132","0.35975541596915","0.000201057184133922","0.530063083029464","0.161021667253701","-0.0304783119135153","OK_nc","NS"
"X3.hydroxyisobutyrate","1.51368501768689e-10","0.00354150092921901","5.32142634456247e-10","0.0169218900033458","0.265261949939213","0.0968487233209308","OK_sd","OK_sd"
"X3.hydroxy.3.methylglutarate","2.21889545229316e-15","7.79464667894776e-07","1.16707020494644e-14","1.8663764761388e-05","0.328406030927249","0.163347311045708","OK_sd","OK_sd"
"homovanillate..HVA.","0.446956742536354","0.985333089474604","0.499193662240192","0.994011038790492","-0.0314839853203505","-0.000611926642980061","NS","NS"
"cholate","0.131974360690951","0.996403696416012","0.165363995805744","0.99861138555135","-0.0623998727460716","0.000150035528973287","NS","NS"
"X4.hydroxyphenylacetate","1.26356514225943e-13","0.000467313620626533","5.87211608919877e-13","0.0031866561969357","0.306772863099769","0.1160719704035","OK_sd","C: Status"
"X5.6.dihydrothymine","0.000209505853371527","0.00138116717749876","0.000394860337534947","0.00764997493822781","-0.15356254189722","-0.106169764800072","OK_sd","C: Status"
"hypoxanthine","3.7465948385661e-06","0.0438887930816014","8.82661318738575e-06","0.116859126350649","0.19157397202686","0.067003214466181","OK_nc","NS"
"X9.10.DiHOME","6.1397805348481e-06","0.0767614811160622","1.40737874759947e-05","0.178365290880987","-0.180166566302705","-0.0588602792928458","OK_nc","NS"
"linoleate..18.2n6.","0.00384271792193021","0.893451426701602","0.0062078193095944","0.936950221046426","0.119743674229943","0.00445839690695729","OK_nc","NS"
"laurate..12.0.","0.0582670007623294","0.0373775472528355","0.0773662622646585","0.105013108948443","-0.0784429572904002","-0.0692079327266875","OK_nc","NS"
"quinolinate","6.58321765754905e-13","0.160075707770029","2.84504024245034e-12","0.298996560794616","0.297728744617273","0.046736771835857","OK_nc","NS"
"N..1..acetylspermidine","0.869162943065961","0.568004906150097","0.887430647068153","0.708439942689046","0.00682853669344302","0.0190049765839642","NS","NS"
"N6.N6.N6.trimethyllysine","2.11194392590085e-27","1.22089342017745e-12","2.34910484217004e-26","2.761253951968e-10","-0.449200686262257","-0.233171515195755","OK_sd","OK_sd"
"N.acetylputrescine","0.000107828295708076","0.0191049421227896","0.00021267877511026","0.0623206886072728","0.160396759569609","0.0778890905421419","OK_sd","OK_sd"
"N.formylmethionine","0.000591912615325744","0.0423397360960215","0.00106106396168697","0.113772320559012","0.142297160646723","0.0675012902850555","OK_nc","NS"
"S.adenosylhomocysteine..SAH.","3.80989062402925e-09","0.0966927663399361","1.16704776000174e-08","0.209603967928584","0.243719677774874","0.0552511121417004","OK_nc","NS"
"adenosine.5..monophosphate..AMP.","9.48832351415512e-05","0.00077740000217506","0.000189626730614264","0.00490665954861189","-0.161669298853578","-0.111519558384236","OK_sd","OK_sd"
"X5.methylthioadenosine..MTA.","2.66205690678877e-33","1.73970446090078e-06","4.40537953964921e-32","3.32504077949628e-05","0.498040062263529","0.158160434827421","OK_sd","OK_sd"
"N6.methyladenosine","0.95414875017322","0.395877337663471","0.961946399691723","0.564884907685941","0.00238601115744264","-0.0282553680533455","NS","NS"
"arachidonate..20.4n6.","0.860749767352422","0.723393406803209","0.880209068799726","0.817356247320528","-0.00727165305125377","-0.0117808137083747","NS","NS"
"arginine","4.60282301314477e-17","1.54640166526314e-05","2.78840662001672e-16","0.000197074050524429","-0.347789531091998","-0.143124794886322","OK_sd","OK_sd"
"ascorbate..Vitamin.C.","0.401631652384634","0.741222959880013","0.45229390231199","0.830585926141353","-0.0326883528569643","0.0109922189651066","NS","NS"
"aspartate","2.04141392758179e-07","0.200988313493979","5.41054433540721e-07","0.346998907648002","0.215206844443435","0.0425463403909416","OK_nc","NS"
"X2.hydroxyphenylacetate","0.00375822781886658","0.0791950267803949","0.00607856394541353","0.181227068028661","0.119885698703601","0.0583815842145075","OK_nc","NS"
"X3..4.hydroxyphenyl.lactate","1.65860524009936e-08","0.145571389076282","4.86118209679228e-08","0.281957759783381","0.233795007555702","0.0484161341751882","OK_nc","NS"
"phenylpyruvate","4.05034613668863e-06","0.978814744173814","9.50920364617037e-06","0.991972821391983","0.190903616511197","0.000883936295267183","OK_nc","NS"
"beta.alanine","1.4228295236712e-09","0.00593343133809938","4.57530725976733e-09","0.0251614572681277","0.250718643836706","0.0913957174162758","OK_sd","C: Status"
